Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY516,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY517,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY518,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY520,99.88,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY521,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY522,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY523,99.77,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY526,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY528,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY530,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY533,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY534,99.12,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY535,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY536,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY540,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY541,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY544,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY546,99.75,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY547,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY549,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY551,99.8,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY552,99.92,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY557,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY559,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY560,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY563,99.7,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY564,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY565,99.93,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY567,99.8,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY570,99.42,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY574,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY579,99.93,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY583,99.99,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY584,99.66,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY585,99.98,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY586,99.89,Gold,99.88,Achieved
